competition_id,competition_code,name,sub_type,type,country_id,country_name,domestic_league_code,confederation,url
BE1,jupiler-pro-league,jupiler-pro-league,first_tier,domestic_league,19,Belgium,BE1,europa,https://www.transfermarkt.co.uk/jupiler-pro-league/startseite/wettbewerb/BE1
SCI,supercoppa-italiana,supercoppa-italiana,domestic_super_cup,other,75,Italy,IT1,europa,https://www.transfermarkt.co.uk/supercoppa-italiana/startseite/wettbewerb/SCI
SFA,sfa-cup,sfa-cup,domestic_cup,domestic_cup,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/sfa-cup/startseite/wettbewerb/SFA
UKRS,ukrainian-super-cup,ukrainian-super-cup,domestic_super_cup,other,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/ukrainian-super-cup/startseite/wettbewerb/UKRS
FAC,fa-cup,fa-cup,domestic_cup,domestic_cup,189,England,GB1,europa,https://www.transfermarkt.co.uk/fa-cup/startseite/wettbewerb/FAC
KLUB,fifa-klub-wm,fifa-klub-wm,fifa_club_world_cup,other,-1,,,europa,https://www.transfermarkt.co.uk/fifa-klub-wm/startseite/pokalwettbewerb/KLUB
BESC,belgian-supercup,belgian-supercup,domestic_super_cup,other,19,Belgium,BE1,europa,https://www.transfermarkt.co.uk/belgian-supercup/startseite/wettbewerb/BESC
CGB,efl-cup,efl-cup,league_cup,other,189,England,GB1,europa,https://www.transfermarkt.co.uk/efl-cup/startseite/wettbewerb/CGB
DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1
ECLQ,uefa-europa-conference-league-qualifikation,uefa-europa-conference-league-qualifikation,uefa_europa_conference_league_qualifiers,international_cup,-1,,,europa,https://www.transfermarkt.co.uk/uefa-europa-conference-league-qualifikation/startseite/pokalwettbewerb/ECLQ
ELQ,europa-league-qualifikation,europa-league-qualifikation,europa_league_qualifying,international_cup,-1,,,europa,https://www.transfermarkt.co.uk/europa-league-qualifikation/startseite/pokalwettbewerb/ELQ
NLSC,johan-cruijff-schaal,johan-cruijff-schaal,domestic_super_cup,other,122,Netherlands,NL1,europa,https://www.transfermarkt.co.uk/johan-cruijff-schaal/startseite/wettbewerb/NLSC
CDR,copa-del-rey,copa-del-rey,domestic_cup,domestic_cup,157,Spain,ES1,europa,https://www.transfermarkt.co.uk/copa-del-rey/startseite/wettbewerb/CDR
USC,uefa-super-cup,uefa-super-cup,uefa_super_cup,other,-1,,,europa,https://www.transfermarkt.co.uk/uefa-super-cup/startseite/pokalwettbewerb/USC
CL,uefa-champions-league,uefa-champions-league,uefa_champions_league,international_cup,-1,,,europa,https://www.transfermarkt.co.uk/uefa-champions-league/startseite/pokalwettbewerb/CL
DFB,dfb-pokal,dfb-pokal,domestic_cup,domestic_cup,40,Germany,L1,europa,https://www.transfermarkt.co.uk/dfb-pokal/startseite/wettbewerb/DFB
FR1,ligue-1,ligue-1,first_tier,domestic_league,50,France,FR1,europa,https://www.transfermarkt.co.uk/ligue-1/startseite/wettbewerb/FR1
GBCS,community-shield,community-shield,domestic_super_cup,other,189,England,GB1,europa,https://www.transfermarkt.co.uk/community-shield/startseite/wettbewerb/GBCS
GR1,super-league-1,super-league-1,first_tier,domestic_league,56,Greece,GR1,europa,https://www.transfermarkt.co.uk/super-league-1/startseite/wettbewerb/GR1
SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1
DFL,dfl-supercup,dfl-supercup,domestic_super_cup,other,40,Germany,L1,europa,https://www.transfermarkt.co.uk/dfl-supercup/startseite/wettbewerb/DFL
EL,europa-league,europa-league,europa_league,international_cup,-1,,,europa,https://www.transfermarkt.co.uk/europa-league/startseite/pokalwettbewerb/EL
TR1,super-lig,super-lig,first_tier,domestic_league,174,Turkey,TR1,europa,https://www.transfermarkt.co.uk/super-lig/startseite/wettbewerb/TR1
ES1,laliga,laliga,first_tier,domestic_league,157,Spain,ES1,europa,https://www.transfermarkt.co.uk/laliga/startseite/wettbewerb/ES1
RU1,premier-liga,premier-liga,first_tier,domestic_league,141,Russia,RU1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/RU1
